date,event,violent_or_natural,cause,deaths_per_day,over_average_estimated_deaths_that_day,daily_average_deaths,estimated_total_deaths_annually,estimated_mortality_rate_for_year,estimated_total_population,source_links
09/19/1863,Chickamauga,violent,War,34624,33762.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
09/17/1862,Antietam,violent,War,22717,21855.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/01/1863,Gettysburg,violent,War,17000,16138.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/02/1863,Gettysburg,violent,War,17000,16138.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/03/1863,Gettysburg,violent,War,17000,16138.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/27/1862,Gaines's Mill,violent,War,14830,13968.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
11/25/1863,Missionary Ridge,violent,War,12491,11629.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/22/1864,Atlanta,violent,War,12140,11278.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
04/06/1862,Shiloh,violent,War,11873,11011.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
04/07/1862,Shiloh,violent,War,11873,11011.53912,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/05/1864,The Wilderness,violent,War,9566,8704.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/06/1864,The Wilderness,violent,War,9566,8704.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/07/1864,The Wilderness,violent,War,9566,8704.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
08/29/1862,2nd Bull Run,violent,War,9150,8288.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
08/30/1862,2nd Bull Run,violent,War,9150,8288.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
10/19/1864,Cedar Creek,violent,War,8674,7812.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
09/19/1864,Opequon (3rd Winchester),violent,War,8630,7768.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
11/30/1864,Franklin,violent,War,8578,7716.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
12/31/1862,Stones River Murfreesboro,violent,War,8215,7353.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
01/01/0863,Stones River Murfreesboro,violent,War,8215,7353.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
01/02/1863,Stones River Murfreesboro,violent,War,8215,7353.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/01/1862,Malvern Hill,violent,War,7750,6888.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
01/02/1865,3rd Petersburg,violent,War,7750,6888.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
10/08/1862,Perryville,violent,War,7677,6815.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/01/1863,Chancellorsville,violent,War,7625,6763.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/02/1863,Chancellorsville,violent,War,7625,6763.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/03/1863,Chancellorsville,violent,War,7625,6763.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/04/1863,Chancellorsville,violent,War,7625,6763.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/30/1862,Glendale,violent,War,7470,6608.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
9/8/1900,The Great Galveston Hurricane,nonviolent,Natural Disaster,8000,5911.995397,2088.004603,762121.68,0.01,"76,212,168",https://en.wikipedia.org/wiki/1900_Galveston_hurricane
07/20/1864,Peachtree Creek,violent,War,6506,5644.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/16/1863,Champion Hill,violent,War,6297,5435.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/31/1862,Seven Pines,violent,War,5582,4720.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/01/1862,Seven Pines,violent,War,5582,4720.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
